#X	CH1	CH2
#Sequence	Volt	Volt
297	2.06e+00	0.00e+00
298	2.06e+00	0.00e+00
299	2.02e+00	0.00e+00
300	2.06e+00	0.00e+00
301	2.02e+00	0.00e+00
302	2.02e+00	0.00e+00
303	2.02e+00	0.00e+00
304	2.02e+00	0.00e+00
305	2.06e+00	0.00e+00
306	2.06e+00	0.00e+00
307	2.02e+00	0.00e+00
308	2.02e+00	0.00e+00
309	2.06e+00	0.00e+00
310	2.02e+00	0.00e+00
311	2.02e+00	0.00e+00
312	2.06e+00	0.00e+00
313	2.02e+00	0.00e+00
314	2.06e+00	0.00e+00
315	2.02e+00	0.00e+00
316	2.02e+00	0.00e+00
317	2.06e+00	0.00e+00
318	2.06e+00	0.00e+00
319	2.02e+00	0.00e+00
320	2.06e+00	0.00e+00
321	2.06e+00	0.00e+00
322	2.06e+00	0.00e+00
323	2.06e+00	0.00e+00
324	2.06e+00	0.00e+00
325	2.02e+00	0.00e+00
326	2.02e+00	0.00e+00
327	2.02e+00	0.00e+00
328	2.02e+00	0.00e+00
329	2.02e+00	0.00e+00
330	2.02e+00	0.00e+00
331	2.06e+00	0.00e+00
332	2.02e+00	0.00e+00
333	2.02e+00	0.00e+00
334	2.02e+00	0.00e+00
335	2.06e+00	0.00e+00
336	2.02e+00	0.00e+00
337	2.02e+00	0.00e+00
338	2.06e+00	0.00e+00
339	2.02e+00	0.00e+00
340	2.02e+00	0.00e+00
341	2.06e+00	0.00e+00
342	2.02e+00	0.00e+00
343	2.02e+00	0.00e+00
344	2.06e+00	0.00e+00
345	2.02e+00	0.00e+00
346	2.02e+00	0.00e+00
347	2.02e+00	0.00e+00
348	2.06e+00	0.00e+00
349	2.06e+00	0.00e+00
350	2.02e+00	0.00e+00
351	2.06e+00	0.00e+00
352	2.06e+00	0.00e+00
353	2.02e+00	0.00e+00
354	2.02e+00	0.00e+00
355	2.02e+00	0.00e+00
356	2.06e+00	0.00e+00
357	2.02e+00	0.00e+00
358	2.02e+00	0.00e+00
359	2.06e+00	0.00e+00
360	2.06e+00	0.00e+00
361	2.06e+00	0.00e+00
362	2.06e+00	0.00e+00
363	2.02e+00	0.00e+00
364	2.02e+00	0.00e+00
365	2.02e+00	0.00e+00
366	2.02e+00	0.00e+00
367	2.02e+00	0.00e+00
368	2.02e+00	0.00e+00
369	2.02e+00	0.00e+00
370	2.06e+00	0.00e+00
371	2.02e+00	0.00e+00
372	2.02e+00	0.00e+00
373	2.06e+00	0.00e+00
374	2.06e+00	0.00e+00
375	2.06e+00	0.00e+00
376	2.06e+00	0.00e+00
377	2.06e+00	0.00e+00
378	2.06e+00	0.00e+00
379	2.02e+00	0.00e+00
380	2.06e+00	0.00e+00
381	2.02e+00	0.00e+00
382	2.06e+00	0.00e+00
383	2.02e+00	0.00e+00
384	2.06e+00	0.00e+00
385	2.06e+00	0.00e+00
386	2.06e+00	0.00e+00
387	2.02e+00	0.00e+00
388	2.02e+00	0.00e+00
389	2.02e+00	0.00e+00
390	2.02e+00	0.00e+00
391	2.02e+00	0.00e+00
392	2.02e+00	0.00e+00
393	2.06e+00	0.00e+00
394	2.06e+00	0.00e+00
395	2.02e+00	0.00e+00
396	2.06e+00	0.00e+00
397	2.06e+00	0.00e+00
398	2.06e+00	0.00e+00
399	2.02e+00	0.00e+00
400	2.02e+00	0.00e+00
401	2.06e+00	0.00e+00
402	2.06e+00	0.00e+00
403	2.06e+00	0.00e+00
404	2.06e+00	0.00e+00
405	2.06e+00	0.00e+00
406	2.02e+00	0.00e+00
407	2.02e+00	0.00e+00
408	2.02e+00	0.00e+00
409	2.06e+00	0.00e+00
410	2.06e+00	0.00e+00
411	2.02e+00	0.00e+00
412	2.06e+00	0.00e+00
413	2.02e+00	0.00e+00
414	2.06e+00	0.00e+00
415	2.02e+00	0.00e+00
416	2.06e+00	0.00e+00
417	2.06e+00	0.00e+00
418	2.02e+00	0.00e+00
419	2.02e+00	0.00e+00
420	2.06e+00	0.00e+00
421	2.02e+00	0.00e+00
422	2.06e+00	0.00e+00
423	2.06e+00	0.00e+00
424	2.06e+00	0.00e+00
425	2.02e+00	0.00e+00
426	2.06e+00	0.00e+00
427	2.02e+00	0.00e+00
428	2.02e+00	0.00e+00
429	2.06e+00	0.00e+00
430	2.02e+00	0.00e+00
431	2.02e+00	0.00e+00
432	2.02e+00	0.00e+00
433	2.06e+00	0.00e+00
434	2.02e+00	0.00e+00
435	2.02e+00	0.00e+00
436	2.02e+00	0.00e+00
437	2.02e+00	0.00e+00
438	2.02e+00	0.00e+00
439	2.06e+00	0.00e+00
440	2.06e+00	0.00e+00
441	2.02e+00	0.00e+00
442	2.06e+00	0.00e+00
443	2.06e+00	0.00e+00
444	2.02e+00	0.00e+00
445	2.06e+00	0.00e+00
446	2.02e+00	0.00e+00
447	2.02e+00	0.00e+00
448	2.02e+00	0.00e+00
449	2.02e+00	0.00e+00
450	2.02e+00	0.00e+00
451	2.02e+00	0.00e+00
452	2.02e+00	0.00e+00
453	2.02e+00	0.00e+00
454	2.06e+00	0.00e+00
455	2.06e+00	0.00e+00
456	2.02e+00	0.00e+00
457	2.02e+00	0.00e+00
458	2.02e+00	0.00e+00
459	2.02e+00	0.00e+00
460	2.02e+00	0.00e+00
461	2.06e+00	0.00e+00
462	2.02e+00	0.00e+00
463	2.06e+00	0.00e+00
464	2.06e+00	0.00e+00
465	2.02e+00	0.00e+00
466	2.06e+00	0.00e+00
467	2.02e+00	0.00e+00
468	2.02e+00	0.00e+00
469	2.02e+00	0.00e+00
470	2.02e+00	0.00e+00
471	2.06e+00	0.00e+00
472	2.02e+00	0.00e+00
473	2.02e+00	0.00e+00
474	2.02e+00	0.00e+00
475	2.06e+00	0.00e+00
476	2.02e+00	0.00e+00
477	2.02e+00	0.00e+00
478	2.02e+00	0.00e+00
479	2.02e+00	0.00e+00
480	2.02e+00	0.00e+00
481	2.06e+00	0.00e+00
482	2.06e+00	0.00e+00
483	2.06e+00	0.00e+00
484	2.06e+00	0.00e+00
485	2.02e+00	0.00e+00
486	2.02e+00	0.00e+00
487	2.02e+00	0.00e+00
488	2.02e+00	0.00e+00
489	2.02e+00	0.00e+00
490	2.02e+00	0.00e+00
491	2.02e+00	0.00e+00
492	2.02e+00	0.00e+00
493	2.02e+00	0.00e+00
494	2.02e+00	0.00e+00
495	2.02e+00	0.00e+00
496	2.06e+00	0.00e+00
497	2.06e+00	0.00e+00
498	2.02e+00	0.00e+00
499	2.06e+00	0.00e+00
500	2.02e+00	0.00e+00
501	2.02e+00	0.00e+00
502	2.02e+00	0.00e+00
503	2.02e+00	0.00e+00
504	2.06e+00	0.00e+00
505	2.06e+00	0.00e+00
506	2.02e+00	0.00e+00
507	2.06e+00	0.00e+00
508	2.02e+00	0.00e+00
509	2.02e+00	0.00e+00
510	2.02e+00	0.00e+00
511	2.02e+00	0.00e+00
512	2.06e+00	0.00e+00
513	2.02e+00	0.00e+00
514	2.02e+00	0.00e+00
515	2.06e+00	0.00e+00
516	2.02e+00	0.00e+00
517	2.02e+00	0.00e+00
518	2.06e+00	0.00e+00
519	2.06e+00	0.00e+00
520	2.06e+00	0.00e+00
521	2.06e+00	0.00e+00
522	2.02e+00	0.00e+00
523	2.06e+00	0.00e+00
524	2.02e+00	0.00e+00
525	2.02e+00	0.00e+00
526	2.02e+00	0.00e+00
527	2.02e+00	0.00e+00
528	2.02e+00	0.00e+00
529	2.02e+00	0.00e+00
530	2.02e+00	0.00e+00
531	2.02e+00	0.00e+00
532	2.02e+00	0.00e+00
533	2.02e+00	0.00e+00
534	2.02e+00	0.00e+00
535	2.02e+00	0.00e+00
536	2.06e+00	0.00e+00
537	2.06e+00	0.00e+00
538	2.02e+00	0.00e+00
539	2.02e+00	0.00e+00
540	2.06e+00	0.00e+00
541	2.06e+00	0.00e+00
542	2.02e+00	0.00e+00
543	2.02e+00	0.00e+00
544	2.02e+00	0.00e+00
545	2.02e+00	0.00e+00
546	2.02e+00	0.00e+00
547	2.02e+00	0.00e+00
548	2.02e+00	0.00e+00
549	2.02e+00	0.00e+00
550	2.06e+00	0.00e+00
551	2.06e+00	0.00e+00
552	2.02e+00	0.00e+00
553	2.02e+00	0.00e+00
554	2.02e+00	0.00e+00
555	2.02e+00	0.00e+00
556	2.02e+00	0.00e+00
557	2.02e+00	0.00e+00
558	2.02e+00	0.00e+00
559	2.02e+00	0.00e+00
560	2.06e+00	0.00e+00
561	2.02e+00	0.00e+00
562	2.06e+00	0.00e+00
563	2.02e+00	0.00e+00
564	2.02e+00	0.00e+00
565	2.02e+00	0.00e+00
566	2.02e+00	0.00e+00
567	2.02e+00	0.00e+00
568	2.02e+00	0.00e+00
569	2.02e+00	0.00e+00
570	2.02e+00	0.00e+00
571	2.06e+00	0.00e+00
572	2.02e+00	0.00e+00
573	2.06e+00	0.00e+00
574	2.06e+00	0.00e+00
575	2.06e+00	0.00e+00
576	2.06e+00	0.00e+00
577	2.02e+00	0.00e+00
578	2.02e+00	0.00e+00
579	2.02e+00	0.00e+00
580	2.02e+00	0.00e+00
581	2.02e+00	0.00e+00
582	2.02e+00	0.00e+00
583	2.06e+00	0.00e+00
584	2.02e+00	0.00e+00
585	2.06e+00	0.00e+00
586	2.02e+00	0.00e+00
587	2.02e+00	0.00e+00
588	2.02e+00	0.00e+00
589	2.02e+00	0.00e+00
590	2.06e+00	0.00e+00
591	2.06e+00	0.00e+00
592	2.06e+00	0.00e+00
593	2.02e+00	0.00e+00
594	2.06e+00	0.00e+00
595	2.02e+00	0.00e+00
596	2.02e+00	0.00e+00
597	2.02e+00	0.00e+00
598	2.02e+00	0.00e+00
599	2.02e+00	0.00e+00
600	2.02e+00	0.00e+00
601	2.06e+00	0.00e+00
602	2.02e+00	0.00e+00
603	2.06e+00	0.00e+00
604	2.02e+00	0.00e+00
605	2.06e+00	0.00e+00
606	2.02e+00	0.00e+00
607	2.06e+00	0.00e+00
608	2.02e+00	0.00e+00
609	2.06e+00	0.00e+00
610	2.06e+00	0.00e+00
611	2.02e+00	0.00e+00
612	2.06e+00	0.00e+00
613	2.06e+00	0.00e+00
614	2.02e+00	0.00e+00
615	2.02e+00	0.00e+00
616	2.06e+00	0.00e+00
617	2.02e+00	0.00e+00
618	2.06e+00	0.00e+00
619	2.06e+00	0.00e+00
620	2.02e+00	0.00e+00
621	2.06e+00	0.00e+00
622	2.02e+00	0.00e+00
623	2.02e+00	0.00e+00
624	2.06e+00	0.00e+00
625	2.02e+00	0.00e+00
626	2.02e+00	0.00e+00
627	2.02e+00	0.00e+00
628	2.06e+00	0.00e+00
629	2.06e+00	0.00e+00
630	2.02e+00	0.00e+00
631	2.02e+00	0.00e+00
632	2.06e+00	0.00e+00
633	2.02e+00	0.00e+00
634	2.02e+00	0.00e+00
635	2.02e+00	0.00e+00
636	2.06e+00	0.00e+00
637	2.02e+00	0.00e+00
638	2.06e+00	0.00e+00
639	2.02e+00	0.00e+00
640	2.02e+00	0.00e+00
641	2.06e+00	0.00e+00
642	2.06e+00	0.00e+00
643	2.02e+00	0.00e+00
644	2.02e+00	0.00e+00
645	2.06e+00	0.00e+00
646	2.02e+00	0.00e+00
647	2.02e+00	0.00e+00
648	2.02e+00	0.00e+00
649	2.06e+00	0.00e+00
650	2.02e+00	0.00e+00
651	2.02e+00	0.00e+00
652	2.06e+00	0.00e+00
653	2.06e+00	0.00e+00
654	2.02e+00	0.00e+00
