2	0.500000000	D ∞ h {displaystyle D_{infty h}} D_{{infty h}}	0	–	–	–	–	–	–	2	–	–	180.000°
93	3829.844338421	C 2 {displaystyle C_{2}} C_{{2}}	0.000213246	0	0	12	81	0	0	273	182	0	20.751°
94	3915.309269620	D 2 {displaystyle D_{2}} D_{{2}}	0	0	0	12	82	0	0	276	184	0	20.952°
95	4001.771675565	C 2 {displaystyle C_{2}} C_{{2}}	0.000116638	0	0	12	83	0	0	279	186	0	20.711°
96	4089.154010060	C 2 {displaystyle C_{2}} C_{{2}}	0.000036310	0	0	12	84	0	0	282	188	0	20.687°
97	4177.533599622	C 2 {displaystyle C_{2}} C_{{2}}	0.000096437	0	0	12	85	0	0	285	190	0	20.450°
98	4266.822464156	C 2 {displaystyle C_{2}} C_{{2}}	0.000112916	0	0	12	86	0	0	288	192	0	20.422°
99	4357.139163132	C 2 {displaystyle C_{2}} C_{{2}}	0.000156508	0	0	12	87	0	0	291	194	0	20.284°
100	4448.350634331	T {displaystyle T} T	0	0	0	12	88	0	0	294	196	0	20.297°
101	4540.590051694	D 3 {displaystyle D_{3}} D_{{3}}	0	0	0	12	89	0	0	297	198	0	20.011°
102	4633.736565899	D 3 {displaystyle D_{3}} D_{{3}}	0	0	0	12	90	0	0	300	200	0	20.040°
103	4727.836616833	C 2 {displaystyle C_{2}} C_{{2}}	0.000201245	0	0	12	91	0	0	303	202	0	19.907°
104	4822.876522746	D 6 {displaystyle D_{6}} D_{{6}}	0	0	0	12	92	0	0	306	204	0	19.957°
105	4919.000637616	D 3 {displaystyle D_{3}} D_{{3}}	0	0	0	12	93	0	0	309	206	0	19.842°
106	5015.984595705	D 2 {displaystyle D_{2}} D_{{2}}	0	0	0	12	94	0	0	312	208	0	19.658°
107	5113.953547724	C 2 {displaystyle C_{2}} C_{{2}}	0.000064137	0	0	12	95	0	0	315	210	0	19.327°
108	5212.813507831	C 2 {displaystyle C_{2}} C_{{2}}	0.000432525	0	0	12	96	0	0	318	212	0	19.327°
109	5312.735079920	C 2 {displaystyle C_{2}} C_{{2}}	0.000647299	0	0	14	93	2	0	321	214	0	19.103°
110	5413.549294192	D 6 {displaystyle D_{6}} D_{{6}}	0	0	0	12	98	0	0	324	216	0	19.476°
111	5515.293214587	D 3 {displaystyle D_{3}} D_{{3}}	0	0	0	12	99	0	0	327	218	0	19.255°
112	5618.044882327	D 5 {displaystyle D_{5}} D_{{5}}	0	0	0	12	100	0	0	330	220	0	19.351°
